global_index,waypoint_id,edge_id,path_id,node_from,node_to,s_m,x,y,yaw,kappa,v_mps,speed_limit_mps,behavior,direction
0,WP_E_C-001_F_000000,E_C-001_F,C-001,N0001,N0002,0.0,0.554,1.473,-0.9178,-0.047082,1.0,1.0,follow,forward
1,WP_E_C-001_F_000001,E_C-001_F,C-001,N0001,N0002,0.2,0.676,1.314,-0.9366,-0.047082,1.0,1.0,follow,forward
2,WP_E_C-001_F_000002,E_C-001_F,C-001,N0001,N0002,0.4,0.794,1.153,-0.9378,-0.002899,1.0,1.0,follow,forward
3,WP_E_C-001_F_000003,E_C-001_F,C-001,N0001,N0002,0.6,0.913,0.991,-0.9193,0.046192,1.0,1.0,follow,forward
4,WP_E_C-001_F_000004,E_C-001_F,C-001,N0001,N0002,0.8,1.034,0.832,-0.879,0.100749,1.0,1.0,follow,forward
5,WP_E_C-001_F_000005,E_C-001_F,C-001,N0001,N0002,1.0,1.162,0.678,-0.8149,0.160284,1.0,1.0,follow,forward
6,WP_E_C-001_F_000006,E_C-001_F,C-001,N0001,N0002,1.2,1.299,0.533,-0.7265,0.221334,1.0,1.0,follow,forward
7,WP_E_C-001_F_000007,E_C-001_F,C-001,N0001,N0002,1.4,1.448,0.4,-0.6164,0.27583,1.0,1.0,follow,forward
8,WP_E_C-001_F_000008,E_C-001_F,C-001,N0001,N0002,1.6,1.611,0.284,-0.492,0.31193,1.0,1.0,follow,forward
9,WP_E_C-001_F_000009,E_C-001_F,C-001,N0001,N0002,1.8,1.787,0.19,-0.372,0.314606,1.0,1.0,follow,forward
10,WP_E_C-001_F_000010,E_C-001_F,C-001,N0001,N0002,1.982,1.957,0.124,-0.372,0.314606,1.0,1.0,follow,forward
11,WP_E_L-001_F_000000,E_L-001_F,L-001,N0002,N0003,0.0,1.957,0.124,0.0,0.0,1.0,1.0,follow,forward
12,WP_E_L-001_F_000001,E_L-001_F,L-001,N0002,N0003,0.2,2.157,0.124,0.0,0.0,1.0,1.0,follow,forward
13,WP_E_L-001_F_000002,E_L-001_F,L-001,N0002,N0003,0.4,2.357,0.124,0.0,0.0,1.0,1.0,follow,forward
14,WP_E_L-001_F_000003,E_L-001_F,L-001,N0002,N0003,0.6,2.557,0.124,0.0,0.0,1.0,1.0,follow,forward
15,WP_E_L-001_F_000004,E_L-001_F,L-001,N0002,N0003,0.8,2.757,0.124,0.0,0.0,1.0,1.0,follow,forward
16,WP_E_L-001_F_000005,E_L-001_F,L-001,N0002,N0003,1.0,2.957,0.124,0.0,0.0,1.0,1.0,follow,forward
17,WP_E_L-001_F_000006,E_L-001_F,L-001,N0002,N0003,1.2,3.157,0.124,0.0,0.0,1.0,1.0,follow,forward
18,WP_E_L-001_F_000007,E_L-001_F,L-001,N0002,N0003,1.4,3.357,0.124,0.0,0.0,1.0,1.0,follow,forward
19,WP_E_L-001_F_000008,E_L-001_F,L-001,N0002,N0003,1.6,3.557,0.124,0.0,0.0,1.0,1.0,follow,forward
20,WP_E_L-001_F_000009,E_L-001_F,L-001,N0002,N0003,1.8,3.757,0.124,0.0,0.0,1.0,1.0,follow,forward
