global_index,waypoint_id,edge_id,path_id,node_from,node_to,s_m,x,y,yaw,kappa,v_mps,speed_limit_mps,behavior,direction
21,WP_E_L-001_F_000010,E_L-001_F,L-001,N0002,N0003,2.0,3.957,0.124,0.0,0.0,1.0,1.0,follow,forward
22,WP_E_L-001_F_000011,E_L-001_F,L-001,N0002,N0003,2.2,4.157,0.124,0.0,0.0,1.0,1.0,follow,forward
23,WP_E_L-001_F_000012,E_L-001_F,L-001,N0002,N0003,2.4,4.357,0.124,0.0,0.0,1.0,1.0,follow,forward
24,WP_E_L-001_F_000013,E_L-001_F,L-001,N0002,N0003,2.6,4.557,0.124,0.0,0.0,1.0,1.0,follow,forward
25,WP_E_L-001_F_000014,E_L-001_F,L-001,N0002,N0003,2.8,4.757,0.124,0.0,0.0,1.0,1.0,follow,forward
26,WP_E_L-001_F_000015,E_L-001_F,L-001,N0002,N0003,3.0,4.957,0.124,0.0,0.0,1.0,1.0,follow,forward
27,WP_E_L-001_F_000016,E_L-001_F,L-001,N0002,N0003,3.2,5.157,0.124,0.0,0.0,1.0,1.0,follow,forward
28,WP_E_L-001_F_000017,E_L-001_F,L-001,N0002,N0003,3.4,5.357,0.124,0.0,0.0,1.0,1.0,follow,forward
29,WP_E_L-001_F_000018,E_L-001_F,L-001,N0002,N0003,3.48,5.436,0.124,0.0,0.0,1.0,1.0,follow,forward
30,WP_E_C-002_F_000000,E_C-002_F,C-002,N0003,N0004,0.0,5.436,0.124,0.7445,0.166201,1.0,1.0,follow,forward
31,WP_E_C-002_F_000001,E_C-002_F,C-002,N0003,N0004,0.2,5.584,0.259,0.8109,0.166201,1.0,1.0,follow,forward
32,WP_E_C-002_F_000002,E_C-002_F,C-002,N0003,N0004,0.4,5.721,0.404,0.8915,0.201582,1.0,1.0,follow,forward
33,WP_E_C-002_F_000003,E_C-002_F,C-002,N0003,N0004,0.6,5.847,0.56,0.9887,0.243285,1.0,1.0,follow,forward
34,WP_E_C-002_F_000004,E_C-002_F,C-002,N0003,N0004,0.8,5.957,0.727,1.1035,0.287817,1.0,1.0,follow,forward
35,WP_E_C-002_F_000005,E_C-002_F,C-002,N0003,N0004,1.0,6.047,0.905,1.234,0.327117,1.0,1.0,follow,forward
36,WP_E_C-002_F_000006,E_C-002_F,C-002,N0003,N0004,1.2,6.113,1.094,1.3733,0.349223,1.0,1.0,follow,forward
37,WP_E_C-002_F_000007,E_C-002_F,C-002,N0003,N0004,1.399,6.152,1.29,1.5107,0.344614,1.0,1.0,follow,forward
38,WP_E_C-002_F_000008,E_C-002_F,C-002,N0003,N0004,1.599,6.164,1.489,1.6359,0.313859,1.0,1.0,follow,forward
39,WP_E_C-002_F_000009,E_C-002_F,C-002,N0003,N0004,1.799,6.151,1.689,1.7426,0.267125,1.0,1.0,follow,forward
40,WP_E_C-002_F_000010,E_C-002_F,C-002,N0003,N0004,1.999,6.117,1.886,1.8291,0.21652,1.0,1.0,follow,forward
41,WP_E_C-002_F_000011,E_C-002_F,C-002,N0003,N0004,2.199,6.066,2.079,1.8969,0.169809,1.0,1.0,follow,forward
42,WP_E_C-002_F_000012,E_C-002_F,C-002,N0003,N0004,2.399,6.002,2.269,1.9489,0.130066,1.0,1.0,follow,forward
43,WP_E_C-002_F_000013,E_C-002_F,C-002,N0003,N0004,2.599,5.928,2.454,1.9866,0.097056,1.0,1.0,follow,forward
44,WP_E_C-002_F_000014,E_C-002_F,C-002,N0003,N0004,2.787,5.852,2.627,1.9866,0.097056,1.0,1.0,follow,forward
45,WP_E_L-002_F_000000,E_L-002_F,L-002,N0004,N0005,0.0,5.852,2.627,3.0309,-0.0,1.0,1.0,follow,forward
46,WP_E_L-002_F_000001,E_L-002_F,L-002,N0004,N0005,0.2,5.653,2.649,3.0309,-0.0,1.0,1.0,follow,forward
47,WP_E_L-002_F_000002,E_L-002_F,L-002,N0004,N0005,0.4,5.454,2.671,3.0309,0.0,1.0,1.0,follow,forward
48,WP_E_L-002_F_000003,E_L-002_F,L-002,N0004,N0005,0.6,5.256,2.693,3.0309,0.0,1.0,1.0,follow,forward
49,WP_E_L-002_F_000004,E_L-002_F,L-002,N0004,N0005,0.8,5.057,2.715,3.0309,0.0,1.0,1.0,follow,forward
50,WP_E_L-002_F_000005,E_L-002_F,L-002,N0004,N0005,1.0,4.858,2.737,3.0309,0.0,1.0,1.0,follow,forward
51,WP_E_L-002_F_000006,E_L-002_F,L-002,N0004,N0005,1.2,4.659,2.759,3.0309,0.0,1.0,1.0,follow,forward
52,WP_E_L-002_F_000007,E_L-002_F,L-002,N0004,N0005,1.4,4.461,2.781,3.0309,0.0,1.0,1.0,follow,forward
53,WP_E_L-002_F_000008,E_L-002_F,L-002,N0004,N0005,1.6,4.262,2.804,3.0309,-0.0,1.0,1.0,follow,forward
54,WP_E_L-002_F_000009,E_L-002_F,L-002,N0004,N0005,1.8,4.063,2.826,3.0309,-0.0,1.0,1.0,follow,forward
55,WP_E_L-002_F_000010,E_L-002_F,L-002,N0004,N0005,2.0,3.864,2.848,3.0309,0.0,1.0,1.0,follow,forward
56,WP_E_L-002_F_000011,E_L-002_F,L-002,N0004,N0005,2.2,3.665,2.87,3.0309,0.0,1.0,1.0,follow,forward
57,WP_E_L-002_F_000012,E_L-002_F,L-002,N0004,N0005,2.4,3.467,2.892,3.0309,0.0,1.0,1.0,follow,forward
58,WP_E_L-002_F_000013,E_L-002_F,L-002,N0004,N0005,2.6,3.268,2.914,3.0309,-0.0,1.0,1.0,follow,forward
59,WP_E_L-002_F_000014,E_L-002_F,L-002,N0004,N0005,2.8,3.069,2.936,3.0309,0.0,1.0,1.0,follow,forward
60,WP_E_L-002_F_000015,E_L-002_F,L-002,N0004,N0005,3.0,2.87,2.958,3.0309,-0.0,1.0,1.0,follow,forward
61,WP_E_L-002_F_000016,E_L-002_F,L-002,N0004,N0005,3.2,2.672,2.98,3.0309,-0.0,1.0,1.0,follow,forward
62,WP_E_L-002_F_000017,E_L-002_F,L-002,N0004,N0005,3.4,2.473,3.002,3.0309,0.0,1.0,1.0,follow,forward
63,WP_E_L-002_F_000018,E_L-002_F,L-002,N0004,N0005,3.6,2.274,3.025,3.0309,-0.0,1.0,1.0,follow,forward
64,WP_E_L-002_F_000019,E_L-002_F,L-002,N0004,N0005,3.8,2.075,3.047,3.0309,0.0,1.0,1.0,follow,forward
65,WP_E_L-002_F_000020,E_L-002_F,L-002,N0004,N0005,4.0,1.876,3.069,3.0309,-0.0,1.0,1.0,follow,forward
66,WP_E_L-002_F_000021,E_L-002_F,L-002,N0004,N0005,4.021,1.856,3.071,3.0309,-0.0,1.0,1.0,follow,forward
67,WP_E_C-003_F_000000,E_C-003_F,C-003,N0005,N0016,0.0,1.856,3.071,2.9169,-0.111771,1.0,1.0,follow,forward
68,WP_E_C-003_F_000001,E_C-003_F,C-003,N0005,N0016,0.2,1.661,3.116,2.8722,-0.111771,1.0,1.0,follow,forward
69,WP_E_C-003_F_000002,E_C-003_F,C-003,N0005,N0016,0.4,1.468,3.169,2.809,-0.15809,1.0,1.0,follow,forward
70,WP_E_C-003_F_000003,E_C-003_F,C-003,N0005,N0016,0.6,1.279,3.234,2.7201,-0.222474,1.0,1.0,follow,forward
71,WP_E_C-003_F_000004,E_C-003_F,C-003,N0005,N0016,0.8,1.097,3.316,2.6045,-0.289726,1.0,1.0,follow,forward
72,WP_E_C-003_F_000005,E_C-003_F,C-003,N0005,N0016,1.0,0.925,3.418,2.4838,-0.302357,1.0,1.0,follow,forward
73,WP_E_C-003_F_000006,E_C-003_F,C-003,N0005,N0016,1.2,0.767,3.54,2.4011,-0.207151,1.0,1.0,follow,forward
74,WP_E_C-003_F_000007,E_C-003_F,C-003,N0005,N0016,1.4,0.619,3.675,2.3777,-0.058449,1.0,1.0,follow,forward
75,WP_E_C-003_F_000008,E_C-003_F,C-003,N0005,N0016,1.6,0.475,3.814,2.3981,0.051139,1.0,1.0,follow,forward
76,WP_E_C-003_F_000009,E_C-003_F,C-003,N0005,N0016,1.8,0.328,3.949,2.438,0.099706,1.0,1.0,follow,forward
77,WP_E_C-003_F_000010,E_C-003_F,C-003,N0005,N0016,2.0,0.175,4.078,2.4819,0.109654,1.0,1.0,follow,forward
78,WP_E_C-003_F_000011,E_C-003_F,C-003,N0005,N0016,2.2,0.017,4.201,2.523,0.10279,1.0,1.0,follow,forward
79,WP_E_C-003_F_000012,E_C-003_F,C-003,N0005,N0016,2.4,-0.146,4.317,2.5593,0.090899,1.0,1.0,follow,forward
80,WP_E_C-003_F_000013,E_C-003_F,C-003,N0005,N0016,2.6,-0.313,4.427,2.5908,0.078734,1.0,1.0,follow,forward
81,WP_E_C-003_F_000014,E_C-003_F,C-003,N0005,N0016,2.799,-0.483,4.532,2.6179,0.067869,1.0,1.0,follow,forward
82,WP_E_C-003_F_000015,E_C-003_F,C-003,N0005,N0016,2.999,-0.656,4.632,2.6324,0.053947,1.0,1.0,follow,forward
83,WP_E_C-003_F_000016,E_C-003_F,C-003,N0005,N0016,3.068,-0.716,4.665,2.6324,0.053947,1.0,1.0,follow,forward
84,WP_E_C-005_F_000000,E_C-005_F,C-005,N0016,N0006,0.0,-0.716,4.665,2.8015,0.145328,1.0,1.0,follow,forward
85,WP_E_C-005_F_000001,E_C-005_F,C-005,N0016,N0006,0.2,-0.904,4.731,2.8596,0.145328,1.0,1.0,follow,forward
86,WP_E_C-005_F_000002,E_C-005_F,C-005,N0016,N0006,0.4,-1.096,4.787,2.88,0.051083,1.0,1.0,follow,forward
87,WP_E_C-005_F_000003,E_C-005_F,C-005,N0016,N0006,0.6,-1.289,4.839,2.8953,0.038332,1.0,1.0,follow,forward
88,WP_E_C-005_F_000004,E_C-005_F,C-005,N0016,N0006,0.8,-1.483,4.888,2.9086,0.033105,1.0,1.0,follow,forward
89,WP_E_C-005_F_000005,E_C-005_F,C-005,N0016,N0006,1.0,-1.678,4.934,2.9207,0.030445,1.0,1.0,follow,forward
90,WP_E_C-005_F_000006,E_C-005_F,C-005,N0016,N0006,1.2,-1.873,4.978,2.9323,0.028975,1.0,1.0,follow,forward
91,WP_E_C-005_F_000007,E_C-005_F,C-005,N0016,N0006,1.4,-2.069,5.019,2.9436,0.028206,1.0,1.0,follow,forward
92,WP_E_C-005_F_000008,E_C-005_F,C-005,N0016,N0006,1.6,-2.265,5.058,2.9548,0.027863,1.0,1.0,follow,forward
93,WP_E_C-005_F_000009,E_C-005_F,C-005,N0016,N0006,1.8,-2.461,5.096,2.9659,0.027819,1.0,1.0,follow,forward
94,WP_E_C-005_F_000010,E_C-005_F,C-005,N0016,N0006,2.0,-2.658,5.131,2.9771,0.028035,1.0,1.0,follow,forward
95,WP_E_C-005_F_000011,E_C-005_F,C-005,N0016,N0006,2.2,-2.856,5.163,2.9885,0.028405,1.0,1.0,follow,forward
96,WP_E_C-005_F_000012,E_C-005_F,C-005,N0016,N0006,2.4,-3.053,5.194,3.0001,0.028983,1.0,1.0,follow,forward
97,WP_E_C-005_F_000013,E_C-005_F,C-005,N0016,N0006,2.6,-3.251,5.222,3.0119,0.029664,1.0,1.0,follow,forward
98,WP_E_C-005_F_000014,E_C-005_F,C-005,N0016,N0006,2.8,-3.45,5.248,3.0241,0.030506,1.0,1.0,follow,forward
99,WP_E_C-005_F_000015,E_C-005_F,C-005,N0016,N0006,3.0,-3.648,5.271,3.0367,0.031513,1.0,1.0,follow,forward
100,WP_E_C-005_F_000016,E_C-005_F,C-005,N0016,N0006,3.2,-3.847,5.292,3.0498,0.032604,1.0,1.0,follow,forward
101,WP_E_C-005_F_000017,E_C-005_F,C-005,N0016,N0006,3.4,-4.046,5.311,3.0633,0.033908,1.0,1.0,follow,forward
102,WP_E_C-005_F_000018,E_C-005_F,C-005,N0016,N0006,3.6,-4.246,5.326,3.0774,0.035293,1.0,1.0,follow,forward
103,WP_E_C-005_F_000019,E_C-005_F,C-005,N0016,N0006,3.8,-4.445,5.339,3.0885,0.035747,1.0,1.0,follow,forward
104,WP_E_C-005_F_000020,E_C-005_F,C-005,N0016,N0006,3.908,-4.553,5.345,3.0885,0.035747,1.0,1.0,follow,forward
105,WP_E_L-003_F_000000,E_L-003_F,L-003,N0006,N0012,0.0,-4.553,5.345,-3.0997,0.0,1.0,1.0,follow,forward
106,WP_E_L-003_F_000001,E_L-003_F,L-003,N0006,N0012,0.2,-4.753,5.336,-3.0997,0.0,1.0,1.0,follow,forward
107,WP_E_L-003_F_000002,E_L-003_F,L-003,N0006,N0012,0.4,-4.953,5.328,-3.0997,0.0,1.0,1.0,follow,forward
108,WP_E_L-003_F_000003,E_L-003_F,L-003,N0006,N0012,0.6,-5.153,5.32,-3.0997,0.0,1.0,1.0,follow,forward
109,WP_E_L-003_F_000004,E_L-003_F,L-003,N0006,N0012,0.8,-5.353,5.311,-3.0997,-0.0,1.0,1.0,follow,forward
110,WP_E_L-003_F_000005,E_L-003_F,L-003,N0006,N0012,1.0,-5.552,5.303,-3.0997,0.0,1.0,1.0,follow,forward
111,WP_E_L-003_F_000006,E_L-003_F,L-003,N0006,N0012,1.2,-5.752,5.295,-3.0997,0.0,1.0,1.0,follow,forward
112,WP_E_L-003_F_000007,E_L-003_F,L-003,N0006,N0012,1.4,-5.952,5.286,-3.0997,-0.0,1.0,1.0,follow,forward
113,WP_E_L-003_F_000008,E_L-003_F,L-003,N0006,N0012,1.6,-6.152,5.278,-3.0997,0.0,1.0,1.0,follow,forward
114,WP_E_L-003_F_000009,E_L-003_F,L-003,N0006,N0012,1.8,-6.352,5.269,-3.0997,-0.0,1.0,1.0,follow,forward
115,WP_E_L-003_F_000010,E_L-003_F,L-003,N0006,N0012,2.0,-6.552,5.261,-3.0997,0.0,1.0,1.0,follow,forward
116,WP_E_L-003_F_000011,E_L-003_F,L-003,N0006,N0012,2.2,-6.751,5.253,-3.0997,-0.0,1.0,1.0,follow,forward
117,WP_E_L-003_F_000012,E_L-003_F,L-003,N0006,N0012,2.4,-6.951,5.244,-3.0997,-0.0,1.0,1.0,follow,forward
118,WP_E_L-003_F_000013,E_L-003_F,L-003,N0006,N0012,2.431,-6.982,5.243,-3.0997,-0.0,1.0,1.0,follow,forward
119,WP_E_L-006_F_000000,E_L-006_F,L-006,N0012,N0007,0.0,-6.982,5.243,3.0863,0.0,1.0,1.0,follow,forward
120,WP_E_L-006_F_000001,E_L-006_F,L-006,N0012,N0007,0.2,-7.182,5.254,3.0863,0.0,1.0,1.0,follow,forward
121,WP_E_L-006_F_000002,E_L-006_F,L-006,N0012,N0007,0.4,-7.381,5.265,3.0863,-0.0,1.0,1.0,follow,forward
122,WP_E_L-006_F_000003,E_L-006_F,L-006,N0012,N0007,0.6,-7.581,5.276,3.0863,0.0,1.0,1.0,follow,forward
123,WP_E_L-006_F_000004,E_L-006_F,L-006,N0012,N0007,0.8,-7.781,5.287,3.0863,-0.0,1.0,1.0,follow,forward
124,WP_E_L-006_F_000005,E_L-006_F,L-006,N0012,N0007,1.0,-7.98,5.298,3.0863,0.0,1.0,1.0,follow,forward
125,WP_E_L-006_F_000006,E_L-006_F,L-006,N0012,N0007,1.2,-8.18,5.309,3.0863,-0.0,1.0,1.0,follow,forward
126,WP_E_L-006_F_000007,E_L-006_F,L-006,N0012,N0007,1.4,-8.38,5.32,3.0863,-0.0,1.0,1.0,follow,forward
127,WP_E_L-006_F_000008,E_L-006_F,L-006,N0012,N0007,1.6,-8.579,5.331,3.0863,0.0,1.0,1.0,follow,forward
128,WP_E_L-006_F_000009,E_L-006_F,L-006,N0012,N0007,1.8,-8.779,5.342,3.0863,-0.0,1.0,1.0,follow,forward
129,WP_E_L-006_F_000010,E_L-006_F,L-006,N0012,N0007,2.0,-8.979,5.353,3.0863,0.0,1.0,1.0,follow,forward
130,WP_E_L-006_F_000011,E_L-006_F,L-006,N0012,N0007,2.2,-9.179,5.364,3.0863,0.0,1.0,1.0,follow,forward
131,WP_E_L-006_F_000012,E_L-006_F,L-006,N0012,N0007,2.4,-9.378,5.375,3.0863,-0.0,1.0,1.0,follow,forward
132,WP_E_L-006_F_000013,E_L-006_F,L-006,N0012,N0007,2.6,-9.578,5.387,3.0863,0.0,1.0,1.0,follow,forward
133,WP_E_L-006_F_000014,E_L-006_F,L-006,N0012,N0007,2.8,-9.778,5.398,3.0863,-0.0,1.0,1.0,follow,forward
134,WP_E_L-006_F_000015,E_L-006_F,L-006,N0012,N0007,3.0,-9.977,5.409,3.0863,0.0,1.0,1.0,follow,forward
135,WP_E_L-006_F_000016,E_L-006_F,L-006,N0012,N0007,3.2,-10.177,5.42,3.0863,-0.0,1.0,1.0,follow,forward
136,WP_E_L-006_F_000017,E_L-006_F,L-006,N0012,N0007,3.4,-10.377,5.431,3.0863,0.0,1.0,1.0,follow,forward
137,WP_E_L-006_F_000018,E_L-006_F,L-006,N0012,N0007,3.6,-10.576,5.442,3.0863,-0.0,1.0,1.0,follow,forward
138,WP_E_L-006_F_000019,E_L-006_F,L-006,N0012,N0007,3.8,-10.776,5.453,3.0863,0.0,1.0,1.0,follow,forward
139,WP_E_L-006_F_000020,E_L-006_F,L-006,N0012,N0007,3.801,-10.777,5.453,3.0863,0.0,1.0,1.0,follow,forward
140,WP_E_C-004_F_000000,E_C-004_F,C-004,N0007,N0008,0.0,-10.777,5.453,2.7434,-0.098186,1.0,1.0,follow,forward
141,WP_E_C-004_F_000001,E_C-004_F,C-004,N0007,N0008,0.2,-10.962,5.53,2.7042,-0.098186,1.0,1.0,follow,forward
142,WP_E_C-004_F_000002,E_C-004_F,C-004,N0007,N0008,0.4,-11.143,5.615,2.6576,-0.116328,1.0,1.0,follow,forward
143,WP_E_C-004_F_000003,E_C-004_F,C-004,N0007,N0008,0.6,-11.32,5.708,2.6021,-0.139046,1.0,1.0,follow,forward
144,WP_E_C-004_F_000004,E_C-004_F,C-004,N0007,N0008,0.8,-11.491,5.811,2.535,-0.167683,1.0,1.0,follow,forward
145,WP_E_C-004_F_000005,E_C-004_F,C-004,N0007,N0008,1.0,-11.656,5.925,2.4539,-0.203144,1.0,1.0,follow,forward
146,WP_E_C-004_F_000006,E_C-004_F,C-004,N0007,N0008,1.2,-11.81,6.052,2.3561,-0.244775,1.0,1.0,follow,forward
147,WP_E_C-004_F_000007,E_C-004_F,C-004,N0007,N0008,1.4,-11.952,6.193,2.2406,-0.289421,1.0,1.0,follow,forward
148,WP_E_C-004_F_000008,E_C-004_F,C-004,N0007,N0008,1.6,-12.076,6.35,2.11,-0.327375,1.0,1.0,follow,forward
149,WP_E_C-004_F_000009,E_C-004_F,C-004,N0007,N0008,1.799,-12.178,6.521,1.9727,-0.344314,1.0,1.0,follow,forward
150,WP_E_C-004_F_000010,E_C-004_F,C-004,N0007,N0008,1.999,-12.256,6.705,1.8418,-0.328221,1.0,1.0,follow,forward
151,WP_E_C-004_F_000011,E_C-004_F,C-004,N0007,N0008,2.199,-12.31,6.898,1.7311,-0.277401,1.0,1.0,follow,forward
152,WP_E_C-004_F_000012,E_C-004_F,C-004,N0007,N0008,2.399,-12.342,7.095,1.6502,-0.202316,1.0,1.0,follow,forward
153,WP_E_C-004_F_000013,E_C-004_F,C-004,N0007,N0008,2.599,-12.358,7.295,1.6049,-0.113391,1.0,1.0,follow,forward
154,WP_E_C-004_F_000014,E_C-004_F,C-004,N0007,N0008,2.799,-12.365,7.494,1.5992,-0.01434,1.0,1.0,follow,forward
155,WP_E_C-004_F_000015,E_C-004_F,C-004,N0007,N0008,2.999,-12.37,7.694,1.6386,0.098583,1.0,1.0,follow,forward
156,WP_E_C-004_F_000016,E_C-004_F,C-004,N0007,N0008,3.199,-12.384,7.894,1.731,0.231346,1.0,1.0,follow,forward
157,WP_E_C-004_F_000017,E_C-004_F,C-004,N0007,N0008,3.399,-12.416,8.091,1.8815,0.377839,1.0,1.0,follow,forward
158,WP_E_C-004_F_000018,E_C-004_F,C-004,N0007,N0008,3.598,-12.477,8.281,2.0788,0.496585,1.0,1.0,follow,forward
159,WP_E_C-004_F_000019,E_C-004_F,C-004,N0007,N0008,3.798,-12.574,8.456,2.2871,0.524907,1.0,1.0,follow,forward
160,WP_E_C-004_F_000020,E_C-004_F,C-004,N0007,N0008,3.998,-12.705,8.606,2.4689,0.457047,1.0,1.0,follow,forward
161,WP_E_C-004_F_000021,E_C-004_F,C-004,N0007,N0008,4.197,-12.861,8.731,2.5999,0.350632,1.0,1.0,follow,forward
162,WP_E_C-004_F_000022,E_C-004_F,C-004,N0007,N0008,4.372,-13.011,8.821,2.5999,0.350632,1.0,1.0,follow,forward
163,WP_E_C-006_F_000000,E_C-006_F,C-006,N0009,N0010,0.0,-14.282,9.597,2.7013,0.074395,1.0,1.0,follow,forward
164,WP_E_C-006_F_000001,E_C-006_F,C-006,N0009,N0010,0.2,-14.463,9.683,2.731,0.074395,1.0,1.0,follow,forward
165,WP_E_C-006_F_000002,E_C-006_F,C-006,N0009,N0010,0.4,-14.646,9.762,2.7625,0.07876,1.0,1.0,follow,forward
166,WP_E_C-006_F_000003,E_C-006_F,C-006,N0009,N0010,0.6,-14.832,9.836,2.796,0.083788,1.0,1.0,follow,forward
167,WP_E_C-006_F_000004,E_C-006_F,C-006,N0009,N0010,0.8,-15.02,9.904,2.832,0.090019,1.0,1.0,follow,forward
168,WP_E_C-006_F_000005,E_C-006_F,C-006,N0009,N0010,1.0,-15.211,9.965,2.871,0.09745,1.0,1.0,follow,forward
169,WP_E_C-006_F_000006,E_C-006_F,C-006,N0009,N0010,1.2,-15.403,10.019,2.9137,0.106797,1.0,1.0,follow,forward
170,WP_E_C-006_F_000007,E_C-006_F,C-006,N0009,N0010,1.4,-15.598,10.064,2.961,0.118289,1.0,1.0,follow,forward
171,WP_E_C-006_F_000008,E_C-006_F,C-006,N0009,N0010,1.6,-15.795,10.1,3.0142,0.132926,1.0,1.0,follow,forward
172,WP_E_C-006_F_000009,E_C-006_F,C-006,N0009,N0010,1.8,-15.993,10.125,3.0748,0.151655,1.0,1.0,follow,forward
173,WP_E_C-006_F_000010,E_C-006_F,C-006,N0009,N0010,2.0,-16.193,10.138,-3.138,0.176093,1.0,1.0,follow,forward
174,WP_E_C-006_F_000011,E_C-006_F,C-006,N0009,N0010,2.2,-16.393,10.138,-3.0549,0.208142,1.0,1.0,follow,forward
175,WP_E_C-006_F_000012,E_C-006_F,C-006,N0009,N0010,2.4,-16.592,10.12,-2.9548,0.25069,1.0,1.0,follow,forward
176,WP_E_C-006_F_000013,E_C-006_F,C-006,N0009,N0010,2.599,-16.788,10.083,-2.8326,0.306382,1.0,1.0,follow,forward
177,WP_E_C-006_F_000014,E_C-006_F,C-006,N0009,N0010,2.799,-16.978,10.023,-2.6829,0.37576,1.0,1.0,follow,forward
178,WP_E_C-006_F_000015,E_C-006_F,C-006,N0009,N0010,2.999,-17.158,9.934,-2.5029,0.452725,1.0,1.0,follow,forward
179,WP_E_C-006_F_000016,E_C-006_F,C-006,N0009,N0010,3.198,-17.318,9.815,-2.2978,0.516709,1.0,1.0,follow,forward
180,WP_E_C-006_F_000017,E_C-006_F,C-006,N0009,N0010,3.398,-17.45,9.666,-2.0843,0.538268,1.0,1.0,follow,forward
181,WP_E_C-006_F_000018,E_C-006_F,C-006,N0009,N0010,3.597,-17.548,9.492,-1.8841,0.504344,1.0,1.0,follow,forward
182,WP_E_C-006_F_000019,E_C-006_F,C-006,N0009,N0010,3.797,-17.61,9.303,-1.7119,0.432716,1.0,1.0,follow,forward
183,WP_E_C-006_F_000020,E_C-006_F,C-006,N0009,N0010,3.997,-17.638,9.105,-1.5714,0.352709,1.0,1.0,follow,forward
184,WP_E_C-006_F_000021,E_C-006_F,C-006,N0009,N0010,4.197,-17.638,8.905,-1.4585,0.282763,1.0,1.0,follow,forward
185,WP_E_C-006_F_000022,E_C-006_F,C-006,N0009,N0010,4.396,-17.616,8.706,-1.4229,0.161999,1.0,1.0,follow,forward
186,WP_E_C-006_F_000023,E_C-006_F,C-006,N0009,N0010,4.416,-17.613,8.687,-1.4229,0.161999,1.0,1.0,follow,forward
187,WP_E_L-004_F_000000,E_L-004_F,L-004,N0010,N0014,0.0,-17.613,8.687,-1.2631,-0.0,1.0,1.0,follow,forward
188,WP_E_L-004_F_000001,E_L-004_F,L-004,N0010,N0014,0.2,-17.552,8.496,-1.2631,-0.0,1.0,1.0,follow,forward
189,WP_E_L-004_F_000002,E_L-004_F,L-004,N0010,N0014,0.4,-17.491,8.305,-1.2631,0.0,1.0,1.0,follow,forward
190,WP_E_L-004_F_000003,E_L-004_F,L-004,N0010,N0014,0.6,-17.431,8.115,-1.2631,0.0,1.0,1.0,follow,forward
